api_id,api_key,version_key,openapi_ver,updated,swagger_url
github-com,github.com,1.1.4,3.0.3,2023-02-15T18:23:37.750Z,https://api.apis.guru/v2/specs/github.com/1.1.4/openapi.json
spotify-com,spotify.com,1.0.0,3.0.1,2023-02-17T17:54:09.755Z,https://api.apis.guru/v2/specs/spotify.com/1.0.0/openapi.json
twitter-com-current,twitter.com:current,2.61,3.0.0,2023-02-17T09:02:50.451Z,https://api.apis.guru/v2/specs/twitter.com/current/2.61/openapi.json
slack-com,slack.com,1.7.0,3.0.0,2021-06-21T12:16:53.715Z,https://api.apis.guru/v2/specs/slack.com/1.7.0/openapi.json
stripe-com,stripe.com,2022-11-15,3.0.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/stripe.com/2022-11-15/openapi.json
sendgrid-com,sendgrid.com,1.0.0,3.0.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/sendgrid.com/1.0.0/openapi.json
twilio-com-api,twilio.com:api,1.42.0,3.0.1,2023-04-20T23:20:25.322Z,https://api.apis.guru/v2/specs/twilio.com/api/1.42.0/openapi.json
bitbucket-org,bitbucket.org,2.0,3.0.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/bitbucket.org/2.0/openapi.json
box-com,box.com,2.0.0,3.0.2,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/box.com/2.0.0/openapi.json
docker-com-engine,docker.com:engine,1.33,3.0.0,2021-06-21T12:16:53.715Z,https://api.apis.guru/v2/specs/docker.com/engine/1.33/openapi.json
docusign-net,docusign.net,v2.1,3.0.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/docusign.net/v2.1/openapi.json
ebay-com-sell-account,ebay.com:sell-account,v1.9.0,3.0.0,2023-03-05T17:10:25.537Z,https://api.apis.guru/v2/specs/ebay.com/sell-account/v1.9.0/openapi.json
ebay-com-sell-fulfillment,ebay.com:sell-fulfillment,v1.19.19,3.0.0,2023-03-05T17:10:25.537Z,https://api.apis.guru/v2/specs/ebay.com/sell-fulfillment/v1.19.19/openapi.json
ebay-com-commerce-charity,ebay.com:commerce-charity,v1.2.1,3.0.0,2023-03-05T17:10:25.537Z,https://api.apis.guru/v2/specs/ebay.com/commerce-charity/v1.2.1/openapi.json
googleapis-com-youtube,googleapis.com:youtube,v3,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/youtube/v3/openapi.json
googleapis-com-gmail,googleapis.com:gmail,v1,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/gmail/v1/openapi.json
googleapis-com-calendar,googleapis.com:calendar,v3,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/calendar/v3/openapi.json
googleapis-com-drive,googleapis.com:drive,v3,3.0.0,2023-04-20T23:11:29.179Z,https://api.apis.guru/v2/specs/googleapis.com/drive/v3/openapi.json
googleapis-com-translate,googleapis.com:translate,v3beta1,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/translate/v3beta1/openapi.json
googleapis-com-vision,googleapis.com:vision,v1p1beta1,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/vision/v1p1beta1/openapi.json
googleapis-com-sheets,googleapis.com:sheets,v4,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/sheets/v4/openapi.json
